,label,x1,x2
0,9,15.9079685,-30.299356
1,6,-41.761486,43.06056
2,6,3.8924832,-27.465511
3,1,17.033867,30.833696
4,4,-10.118043,20.761383
5,5,-9.322735,-13.592693
6,4,15.084429,18.973858
7,6,4.903285,-31.285425
8,5,-6.652081,23.866335
9,4,2.8002064,-26.179655
10,1,14.62843,47.969654
11,8,35.047607,-23.167015
12,7,26.570137,-29.382391
13,6,-38.18159,44.82785
14,2,-5.5465493,10.430348
15,3,31.733765,-40.38288
16,0,-8.573637,-20.663774
17,9,-47.50519,-0.16015244
18,6,-39.82316,34.473625
19,0,-41.92692,-24.928223
20,1,8.578161,40.312065
21,8,-6.4254246,15.760584
22,2,11.490021,35.07891
23,1,-14.200748,2.1759663
24,9,-2.7322073,15.121522
25,2,-10.773644,-17.642052
26,5,15.842432,-29.525064
27,5,-14.008076,-15.609484
28,7,27.216753,-30.223562
29,5,17.648066,-0.5122574
30,3,25.602192,6.25104
31,9,-30.837368,2.4491832
32,3,-24.610315,-21.681599
33,9,-43.771957,8.250775
34,6,3.220367,38.04935
35,8,22.80797,-23.841982
36,3,26.231125,9.1988
37,3,32.562164,-0.8551767
38,5,-12.239384,16.86807
39,8,-21.938082,-28.169907
40,6,32.249146,-28.269243
41,7,29.97719,-29.826239
42,7,36.064823,-29.713903
43,2,46.33612,2.0756452
44,2,52.631287,-0.25439775
45,1,21.618502,-26.16225
46,6,12.577181,-29.994148
47,9,-2.8057487,-8.2543955
48,4,-17.12321,-23.411749
49,4,16.113232,-12.718372
50,5,19.234383,-25.978611
51,7,-36.80112,21.161148
52,3,24.08475,-2.0478694
53,8,-36.740765,-0.03589839
54,6,-38.943214,34.10865
55,9,-27.441183,-2.1312046
56,4,24.380257,-40.256126
57,4,-32.84648,20.479458
58,7,6.887738,-24.10285
59,6,-41.973114,40.48204
60,6,-36.82687,35.48956
61,3,30.840843,9.364828
62,1,-16.93552,1.4846876
63,9,-3.1135619,-12.577626
64,2,59.017082,-4.135366
